job_name,company_tag,city,salary_avg_annual_wy,skills,experience,education,main_skill_categories,skills_cleaned,skills_list
数据分析师助理,大数据,上海市,12.0,商业分析;数据挖掘;Excel;SQL Server;MySQL,1-3年,本科,其他;数据库;大数据,商业分析;数据挖掘;excel;sql server;mysql,"['商业分析', '数据挖掘', 'excel', 'sql server', 'mysql']"
数据分析师-,互联网,上海市,45.0,SQL;Python;Excel,5-10年,本科,数据库;后端开发;其他,sql;python;excel,"['sql', 'python', 'excel']"
资深数据分析师（英语好）,移动互联网,上海市,56.25,,5-10年,不限,,,['']
数据分析师/专家（P7）,电子商务,上海市,80.0,SQL;Python;社区,5-10年,本科,数据库;后端开发;其他,sql;python;社区,"['sql', 'python', '社区']"
数据分析师(A137570),游戏,上海市,12.6,Python;SQL,经验不限,本科,后端开发;数据库,python;sql,"['python', 'sql']"
新媒体数据分析师,广告营销,上海市,7.2,Excel;Power BI;Python,经验不限,大专,其他;后端开发,excel;power bi;python,"['excel', 'power bi', 'python']"
数据分析师,互联网,上海市,16.25,,3-5年,大专,,,['']
数据分析师,信息安全,上海市,18.6,,5-10年,不限,,,['']
数据分析师（跨境电商双休）,电子商务,上海市,13.2,SQL;Python;Power BI;Tableau,1-3年,本科,数据库;后端开发;其他,sql;python;power bi;tableau,"['sql', 'python', 'power bi', 'tableau']"
数据分析师 (XBK),电子商务,上海市,16.2,零售;外卖;O2O,3-5年,本科,其他,零售;外卖;o2o,"['零售', '外卖', 'o2o']"
区域数据分析师,生活服务(O2O),上海市,13.0,,3-5年,大专,,,['']
数据分析师,基金,上海市,70.2,Python;SQL;数据,经验不限,不限,数据库;后端开发,python;sql;数据,"['python', 'sql', '数据']"
数据分析师,医疗健康,上海市,11.05,Excel;PPT,1年经验,大专,其他,excel;ppt,"['excel', 'ppt']"
资深数据分析师,社交网络与媒体,上海市,41.25,社交，内容,5-10年,本科,其他,社交，内容,['社交，内容']
数据分析师,电子商务,上海市,18.85,消费者策略;数据平台,1-3年,本科,其他,消费者策略;数据平台,"['消费者策略', '数据平台']"
数据分析师,互联网金融,上海市,37.5,,1-3年,本科,,,['']
